ID	PRISM_7122	PRISM_7147	PRISM_7150	PRISM_7153	PRISM_7184	PRISM_7238	PRISM_7406	PRISM_7408	PRISM_7421	PRISM_7445	PRISM_7486	PRISM_7547	PRISM_7658	PRISM_7662	PRISM_7744	PRISM_7759	PRISM_7791	PRISM_7843	PRISM_7847	PRISM_7855	PRISM_7858	PRISM_7860	PRISM_7861	PRISM_7862	PRISM_7870	PRISM_7874	PRISM_7875	PRISM_7879	PRISM_7899	PRISM_7904	PRISM_7906	PRISM_7908	PRISM_7909	PRISM_7910	PRISM_7911	PRISM_7912	PRISM_7938	PRISM_7941	PRISM_7947	PRISM_7948	PRISM_7955	PRISM_7971	PRISM_7989	PRISM_8095	PRISM_8226	PRISM_8244	PRISM_8264	PRISM_8283	PRISM_8332	PRISM_8336	PRISM_8361	PRISM_8374	PRISM_8377	PRISM_8406	PRISM_8452	PRISM_8462	PRISM_8466	PRISM_8467	PRISM_8475	PRISM_8483	PRISM_8485	PRISM_8496	PRISM_8523	PRISM_8534	PRISM_8537	PRISM_8550	PRISM_8564	PRISM_8565	PRISM_8573	PRISM_8577	PRISM_8589	PRISM_8591	PRISM_8592	PRISM_8624	PRISM_8629	PRISM_8675	PRISM_8683	PRISM_8746	PRISM_8749	PRISM_8753	PRISM_8754	PRISM_8758	PRISM_8764	PRISM_8765	PRISM_8774	PRISM_8776	PRISM_8783	PRISM_8784	PRISM_8788	PRISM_8789	PRISM_8794	PRISM_8800	PRISM_8802	PRISM_8806	PRISM_8807	PRISM_8841	PRISM_8843	PRISM_8847	PRISM_8878	PRISM_8892	PRISM_9126	PRISM_9148
PRISM_7122_03875	197	16	2	15	87	0	0	80	92	0	33	0	1	90	469	861	89	0	32	0	348	0	0	93	0	0	0	22	1	0	7	18	0	131	0	13	127	0	0	0	41	0	0	0	0	83	0	33	5	0	19	0	1	681	0	1	24	190	2	2	4	35	1	0	0	0	0	2	0	3	0	0	77	0	0	0	490	0	2	5	225	2	8	7	365	20	2	9	231	6	492	0	0	2	2781	9	0	2	0	0	56	122
PRISM_7122_38863	16	3	2	8	2	34	905	62	12	38	5	6	0	0	0	17	4	0	0	0	0	4	25	0	32	0	7	0	0	19	0	6	0	0	196	0	2	185	7	8	0	0	52	23	76	4	0	22	0	0	9	25	118	48	0	2	0	0	2	104	2	10	2	80	20	0	77	0	2	0	2	115	0	75	0	86	0	0	115	98	1	139	0	0	16	0	339	0	0	0	14	14	18	3	231	409	61	479	16	5	0	18
PRISM_7147_05905	0	1934	2	11	0	0	0	16	129	1	18	0	84	83	96	1	6	0	30	12	3	37	103	441	10	87	0	4	141	157	60	64	3	13	6	15	31	0	2	129	113	0	2	0	0	8	0	478	592	0	333	0	0	42	0	0	45	1	42	0	0	0	0	0	0	0	0	0	0	37	9	0	205	0	0	0	368	0	0	438	15	0	6	17	23	61	395	24	500	3	46	36	0	0	0	20	0	2	1	0	20	0
PRISM_7147_105078	0	2304	132	506	0	8	3	123	718	1	952	1	646	240	654	142	19	0	237	155	145	487	786	687	243	339	1	79	651	797	153	1131	148	1053	314	397	321	1	3	483	1080	0	2	0	0	468	4	1474	2187	6	1294	1	0	2781	0	2	429	146	49	2	1	1	4	0	0	0	3	0	20	142	97	0	599	0	1	0	2157	1	1	88	416	0	83	171	670	752	531	2127	991	38	4644	2582	0	2	4	634	6	3	150	0	95	0
PRISM_7147_276043	0	2611	126	944	4	32	2	183	1108	3	1740	5	1037	352	1425	2	55	3	427	313	218	99	763	893	347	55	1	170	1169	358	78	1806	268	1460	537	106	663	4	2	862	1240	0	3	0	4	748	3	38	3773	1	2236	1	1	3362	2	3	1036	271	70	3	0	0	0	3	0	3	2	6	44	2	169	3	997	3	0	0	27	1	0	2742	749	2	2	282	1903	10	729	3801	1834	84	8533	6289	0	2	0	71	11	3	205	0	252	0
PRISM_7147_316430	0	2809	256	1028	0	36	0	153	1383	2	1649	1	1090	0	1	367	1	0	465	318	0	676	768	670	303	0	0	159	309	0	111	1783	299	1617	604	0	6	0	2	0	1921	0	2	0	0	785	4	2	1	1	1	0	0	3902	5	2	666	240	0	2	0	2	4	1	0	0	0	3	22	4	156	0	0	1	4	0	16	1	1	2829	743	0	6	2	1834	2	666	1	0	81	9134	6947	2	2	1	78	1	1	237	0	150	0
PRISM_7147_348058	1	5554	273	2354	6	54	4	293	2542	5	3404	6	2415	765	2918	605	84	1	858	647	551	1656	2723	1883	760	1196	5	293	2301	2900	545	4626	619	3291	1255	1324	1516	8	3	1823	4086	0	8	0	6	1433	10	5103	7779	4	4817	2	3	11297	0	0	1931	500	137	12	6	2	0	0	0	2	1	14	61	413	338	3	2313	2	2	0	6564	5	9	5333	1515	2	366	636	3224	3927	1257	7033	3987	169	17576	12183	1	8	9	1989	8	8	468	0	295	1
PRISM_7147_69875	0	3022	160	1300	0	16	5	139	1244	4	1781	7	1165	456	1476	323	55	2	500	336	243	886	1491	918	447	484	0	170	1208	1584	245	2559	273	1903	515	697	816	2	2	910	1872	0	3	1	0	653	9	2500	3618	0	2513	0	5	5726	2	0	921	192	73	0	4	0	2	2	0	0	2	6	71	203	218	0	1137	2	1	0	3605	0	4	2599	777	0	153	266	1332	935	726	3459	2077	106	8111	6501	1	5	6	1224	19	8	270	0	167	1
PRISM_7147_92171	0	4366	278	1682	3	46	0	279	2135	12	2130	0	306	39	2223	450	0	0	708	560	398	1137	1315	1137	577	0	2	175	0	0	403	2767	388	2348	904	2	1207	2	6	0	2466	0	4	1	2	1048	2	31	4533	1	0	0	0	5	3	2	253	353	94	5	0	0	0	4	0	2	0	1	50	5	237	1	1129	0	1	1	24	1	8	4220	1244	0	53	433	2771	1343	1215	5806	3087	139	13497	8909	7	3	0	94	15	5	348	0	219	0
PRISM_7150_111763	1	1144	67	492	2	10	1	61	503	2	659	0	464	167	691	117	9	0	196	147	118	374	614	391	176	263	0	60	558	575	116	1058	120	678	324	284	357	0	1	373	863	0	2	2	0	338	4	1103	1702	0	1033	0	1	2259	2	2	360	102	31	1	0	0	0	2	2	1	1	4	26	119	73	2	559	0	0	2	1425	2	1	1226	375	0	77	164	801	851	304	1586	903	35	3680	2550	0	3	0	437	1	0	83	0	67	0
