familyID	type	detail	cmp_type	prevalence	prevalence_case	prevalence_control	coef	stderr	pvalue	qvalue	log(FC)	Cohen's_d	mean(log)	mean_abundance	mean_abundance_case	mean_abundance_control	mean_prevalent_abundance	mean_prevalent_abundance_case	mean_prevalent_abundance_control
Cluster_501	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.7745098039215687	0.6764705882352942	0.9705882352941176	-1.6866677305075	0.461401983575518	0.000429152165426368	0.000821536273841642	-1.2058056911634496	-1.9898175510844818	-4.58795778485937	1036.5701465784314	582.3852639852943	1944.9399117647063	1338.35639178481	860.9173467608698	2003.8774848484852
Cluster_1250	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.6862745098039216	0.5441176470588235	0.9705882352941176	-2.16376768594862	0.422835228421407	1.71436643792749e-06	1.81595852313801e-05	-1.087420678860329	-1.771682298261677	-4.53012255514243	940.6351264901962	568.0995279705883	1685.7063235294117	1370.6397557428572	1044.074808162162	1736.7883333333334
Cluster_1418	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.6666666666666666	0.5147058823529411	0.9705882352941176	-1.89615520145796	0.404744302647836	9.76909860132316e-06	4.90168807013759e-05	-1.0977847875118905	-1.7841888537942725	-4.367923587339115	966.1329441568628	579.8366368235293	1738.7255588235294	1449.1994162352942	1126.539751542857	1791.4142121212121
Cluster_1463	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.6666666666666666	0.5147058823529411	0.9705882352941176	-1.98567821867595	0.39921971325762	3.07925075928469e-06	2.52225564937802e-05	-1.1536875247261986	-1.8935798428591195	-4.347362476887167	940.3737018627452	545.5275674999999	1730.0659705882351	1410.5605527941177	1059.882131142857	1782.4922121212119
Cluster_1357	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.5686274509803921	0.39705882352941174	0.9117647058823529	-2.00121890454408	0.42207114855513	7.81481528078365e-06	4.34832134300413e-05	-1.1302347162969166	-1.1971879075241385	-4.326880883608513	667.8597475882352	393.00803049999985	1217.563181764706	1174.5119698965516	989.7980027407403	1335.3918767741936
Cluster_851	MaAsLin2_DA-sig	up(CD_vs_nonIBD)	CD_vs_nonIBD	0.5784313725490197	0.7647058823529411	0.20588235294117646	2.0249828141438	0.412465172857406	3.99533184302755e-06	2.91496149771908e-05	3.687907930917645	1.1568934395502648	4.326250198008992	477.74769082352935	707.8800434411764	17.482985588235298	825.9366858305084	925.6892875769231	84.9173585714286
Cluster_1252	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.6372549019607843	0.4852941176470588	0.9411764705882353	-1.70217667879725	0.436640171043192	0.000184980281138554	0.000415370240859483	-1.0085099051744213	-1.3019982462826991	-4.30183437120616	715.4774555294117	452.6078597647059	1241.2166470588234	1122.7492379076923	932.646498909091	1318.7926874999998
Cluster_1143	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.696078431372549	0.5588235294117647	0.9705882352941176	-2.24389061671986	0.462634152711223	5.06792752412828e-06	3.32877172071801e-05	-0.7522965466805491	-0.9205445283786505	-4.278331397832457	1084.6377756078434	789.3764722352944	1675.1603823529413	1558.2120156619724	1412.5684240000003	1725.9228181818182
Cluster_267	MaAsLin2_DA-sig	up(CD_vs_nonIBD)	CD_vs_nonIBD	0.8627450980392157	0.9705882352941176	0.6470588235294118	2.0208344012511	0.321195918957158	1.08049547341998e-08	1.52102440340197e-06	2.1005682920049837	1.5044121411281406	4.247883953658212	674.7322904803923	953.7662108823529	116.66444967647058	782.0760639659093	982.6682172727272	180.29960404545454
Cluster_1031	MaAsLin2_DA-sig	down(CD_vs_nonIBD)	CD_vs_nonIBD	0.7254901960784313	0.6029411764705882	0.9705882352941176	-1.42866588837139	0.462007134988689	0.00263679672688336	0.00394065783109855	-0.912491047107459	-1.460547389145881	-4.234312988729995	1225.9134962745102	818.9610385294118	2039.8184117647054	1689.7726570270274	1358.276844390244	2101.6310909090903
