familyID	DNA_within_phenotype_abundance__value	DNA_within_phenotype_abundance__percentile	DNA_within_phenotype_prevalence__value	DNA_within_phenotype_prevalence__percentile	MaAsLin2_DA__mean_log__value	MaAsLin2_DA__mean_log__percentile	MaAsLin2_DA__qvalue__value	MaAsLin2_DA__qvalue__percentile	priority_score
Cluster_665|CD_vs_nonIBD	1903.0428735294122	0.8553459119496856	1.0	1.0	-3.6068703608965857	0.909853249475891	1.82288194004205e-05	0.906927921623513	0.9151602006121271
Cluster_535|CD_vs_nonIBD	2278.881032352942	0.9650593990216632	1.0	1.0	-3.480698435188194	0.859538784067086	0.000126271558299362	0.7137858642407278	0.8694516831838088
Cluster_36|CD_vs_nonIBD	1664.6560147058822	0.7847658979734451	1.0	1.0	-3.5689401501685043	0.8951781970649895	8.52759337109597e-05	0.7557732680195941	0.8484445681246076
Cluster_89|CD_vs_nonIBD	1930.989823529412	0.8644304682040531	0.9705882352941176	0.8460987831066571	-3.6142316966396306	0.9126484975541579	8.18951202672685e-05	0.7585724282715185	0.8416261711676816
Cluster_675|CD_vs_nonIBD	1820.0980588235295	0.8259958071278826	0.9705882352941176	0.8460987831066571	-3.4525812954061634	0.8455625436757512	9.11873105742839e-05	0.7438768369489154	0.8130894092227829
Cluster_628|CD_vs_nonIBD	1788.7261176470583	0.8176100628930818	0.9705882352941176	0.8460987831066571	-3.308893874919711	0.7714884696016772	0.000143602495701172	0.6997900629811057	0.7797016118412777
Cluster_721|CD_vs_nonIBD	1788.2179411764705	0.816911250873515	0.9705882352941176	0.8460987831066571	-3.64589804353514	0.9217330538085255	0.000431106685512872	0.5528341497550735	0.754746623093642
Cluster_353|CD_vs_nonIBD	2021.948041176471	0.8944793850454228	1.0	1.0	-3.148131849869271	0.6575821104122991	0.000293479271613794	0.6011196641007698	0.7543961966081146
Cluster_363|CD_vs_nonIBD	994.1658547058822	0.5639412997903563	0.9558823529411765	0.7154617036506801	3.42340542096111	0.8294898672257163	1.18847805048273e-05	0.9328201539538139	0.7341454916192811
Cluster_849|CD_vs_nonIBD	1074.3620055882352	0.6079664570230608	0.9117647058823529	0.6306370794559771	3.3413268810384094	0.7889587700908456	1.39136237176998e-05	0.92407277816655	0.7168221305377807
Cluster_13|CD_vs_nonIBD	1543.9245000000003	0.7707896575821104	0.9705882352941176	0.8460987831066571	-3.094040536326297	0.6219426974143956	0.000254848969721507	0.6151154653603919	0.7001768869767342
Cluster_355|CD_vs_nonIBD	1112.1913	0.6324248777078966	0.8970588235294118	0.5909090909090909	3.2256025768561725	0.7071977638015374	5.90530114055347e-06	0.9555633310006998	0.6975862597352769
Cluster_377|CD_vs_nonIBD	2111.498032352941	0.9196366177498253	1.0	1.0	-3.2972058471054835	0.7645003494060097	0.0013845755326276	0.4160251924422673	0.6897585788016795
Cluster_483|CD_vs_nonIBD	860.7981470588234	0.46261355695317957	0.9705882352941176	0.8460987831066571	-3.9308459050006186	0.9741439552760307	0.000156162823116674	0.6815955213435969	0.6852583389597342
Cluster_1012|CD_vs_nonIBD	1153.8091872058826	0.6617749825296995	0.8970588235294118	0.5909090909090909	3.2448633614695463	0.7260656883298393	6.66329176247345e-05	0.7802659202239328	0.682326568721884
Cluster_597|CD_vs_nonIBD	1314.3819411764707	0.7225716282320056	0.9117647058823529	0.6306370794559771	3.187803582088152	0.684136967155835	0.00014489500718198	0.6906927921623512	0.6803691654263939
Cluster_623|CD_vs_nonIBD	929.137055	0.5178197064989518	0.8823529411764706	0.5468861846814602	3.5176223259739166	0.8742138364779874	2.04152783520264e-06	0.9846046186144157	0.6757636713200351
Cluster_703|CD_vs_nonIBD	1950.6399411764705	0.8707197763801537	0.9705882352941176	0.8460987831066571	-3.183614581983374	0.6785464709993012	0.000882768240550652	0.4667599720083975	0.6726603605005896
Cluster_881|CD_vs_nonIBD	1138.6343035294115	0.6540880503144654	0.8676470588235294	0.5035790980672871	3.4809314100812982	0.8602375960866527	0.000146505882062269	0.6889433170048985	0.6526776874057278
Cluster_330|CD_vs_nonIBD	1450.9105710294116	0.7554157931516422	0.9117647058823529	0.6306370794559771	3.1489262001398433	0.6582809224318659	0.000514081298450604	0.5325402379286214	0.6342790051101506
Cluster_478|CD_vs_nonIBD	864.1717945588235	0.46540880503144655	0.8823529411764706	0.5468861846814602	3.370021915614841	0.806429070580014	1.62197892988972e-05	0.9111266620013996	0.6334366251442669
Cluster_657|CD_vs_nonIBD	1063.8345954411764	0.6002795248078266	0.8970588235294118	0.5909090909090909	2.9778283025807855	0.559748427672956	4.42289673714422e-05	0.8128061581525542	0.6274489375236714
Cluster_357|CD_vs_nonIBD	1920.0780588235295	0.8602375960866527	0.9705882352941176	0.8460987831066571	-3.0500356680346723	0.5925925925925926	0.00130256998978474	0.42477256822953113	0.6263637486619451
Cluster_807|CD_vs_nonIBD	842.0573624999998	0.45143256464011183	0.9117647058823529	0.6306370794559771	3.074135310093874	0.6051712089447938	4.38627898133052e-06	0.9688593421973408	0.6167666605544968
Cluster_513|CD_vs_nonIBD	862.0250154411766	0.4647099930118798	0.8823529411764706	0.5468861846814602	3.127958361438865	0.6464011180992313	3.26597963035023e-06	0.9762071378586424	0.6105179870105008
Cluster_354|CD_vs_nonIBD	2148.8439117647054	0.9350104821802935	0.9705882352941176	0.8460987831066571	-2.7784343308642514	0.4451432564640112	0.000819324561588462	0.4800559832050385	0.6078140560065048
Cluster_726|CD_vs_nonIBD	1008.2713294117643	0.570230607966457	0.8382352941176471	0.4169649248389406	3.050062678499255	0.5932914046121593	4.33149179875395e-05	0.824702589223233	0.5673734370207153
Cluster_1051|CD_vs_nonIBD	1046.0659882352938	0.593990216631726	0.8529411764705882	0.4574087329992842	2.7732271829878825	0.44234800838574423	3.00205085606195e-05	0.8614415675297411	0.5486015552005793
Cluster_578|CD_vs_nonIBD	849.9173852941178	0.4549266247379455	0.9705882352941176	0.8460987831066571	-3.4047785381711746	0.8232005590496156	0.00399822975989355	0.32995101469559135	0.5245505740024972
Cluster_740|CD_vs_nonIBD	727.8920154411763	0.36827393431167016	0.7647058823529411	0.2999284180386543	4.202457911172107	0.9916142557651991	4.72794287688157e-06	0.9643107067879636	0.4941342730869029
